name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1
City Hall,21202,Downtown,11,CENTRAL,"100 Holliday Street
Baltimore, MD
"
Otterbein Church,21201,Inner Harbor,11,CENTRAL,"112 Conway Street
Baltimore, MD
"
McKim Free School,21202,Jonestown,12,SOUTHEASTERN,"1120 Baltimore Street
Baltimore, MD
"
First Unitarian Church,21201,Mount Vernon,11,CENTRAL,"2 12 West Franklin Street
Baltimore, MD
"
Ebenezer A.M.E. Church,21230,Federal Hill,11,SOUTHERN,"18 20-30 W Montgomery Street
Baltimore, MD
"
Municipal Museum of Balt (Peale Museum),21202,Downtown,11,CENTRAL,"225 Holliday Street
Baltimore, MD
"
Lovely Lane Methodist Church (First Methodist),21218,Charles Village,12,NORTHERN,"2200 St Paul Street
Baltimore, MD
"
Lloyd Street Synagogue,21202,Jonestown,12,SOUTHEASTERN,"11 Lloyd Street
Baltimore, MD
"
Bethel A.M.E. Church,21217,Upton,11,CENTRAL,"1300 Druid Hill Avenue
Baltimore, MD
"
Eutaw Place Baptist Church,21217,Madison Park,11,CENTRAL,"313 Dolphin Street
Baltimore, MD
"
Eastern Female High School,21202,Pleasant View Gardens,12,SOUTHEASTERN,"249 Aisquith Street
Baltimore, MD
"
Belvedere Hotel,21201,Mid-Town Belvedere,11,CENTRAL,"1 Chase Street
Baltimore, MD
"
Battle Monument,21202,Downtown,11,CENTRAL,
St. Paul's P.E. Church,21201,Downtown,11,CENTRAL,"233 Charles Street
Baltimore, MD
"
St.Paul's P.E. Church Rectory,21201,Downtown,11,CENTRAL,"24 Saratoga Street
Baltimore, MD
"
Cylburn House and Park,21209,Coldspring,6,NORTHERN,"4915 Greenspring Ave
Baltimore, MD
"
Davidge Hall,21201,Inner Harbor,11,CENTRAL,"522 Lombard Street
Baltimore, MD
"
Mt.Clare Station & Roundhouse,21223,Washington Village,9,SOUTHERN,"Pratt
Baltimore, MD
"
Evergreen House,21210,Loyola/Notre Dame,4,NORTHERN,"4545 Charles Street
Baltimore, MD
"
Old Post Office Building,21202,Downtown,11,CENTRAL,"111 Calvert Street
Baltimore, MD
"
Homewood House,21218,Johns Hopkins Homewood,14,NORTHERN,
Maryland House,21217,Druid Hill Park,11,NORTHERN,
Baltimore Arts Tower (Bromo Seltzer),21201,Downtown,11,CENTRAL,"312 318 W Lombard Street
Baltimore, MD
"
Mercantile Safe Deposit and Trust Building,21202,Downtown,11,CENTRAL,"202 Redwood Street
Baltimore, MD
"
Star Spangled Banner Flag House,21202,Jonestown,12,SOUTHEASTERN,"844 Pratt Street
Baltimore, MD
"
Peabody Institute,21201,Mount Vernon,11,CENTRAL,"1 21 E Mount Street
Baltimore, MD
"
Old Town Friends' Meeting House,21202,Jonestown,12,SOUTHEASTERN,"1201 Fayette Street
Baltimore, MD
"
Mother Seton House,21201,Seton Hill,11,CENTRAL,"600 Paca Street
Baltimore, MD
"
Washington Monument and Mount Vernon Place,21201,Mount Vernon,11,CENTRAL,"Charles Street
Baltimore, MD
"
Westminister Presbyterian Church,21201,University Of Maryland,11,CENTRAL,"509 513 W Fayette Street
Baltimore, MD
"
Basilica of the Assumption,21201,Downtown,11,CENTRAL,"401 Cathedral Street
Baltimore, MD
"
H.L. Mencken House,21223,Union Square,9,SOUTHERN,"1524 Hollins Street
Baltimore, MD
"
Shot Tower,21202,Jonestown,12,SOUTHEASTERN,"801 Fayette Street
Baltimore, MD
"
St. Vincent De Paul Church,21202,Jonestown,12,SOUTHEASTERN,"120 Front Street
Baltimore, MD
"
Old Cathedral School,21201,Downtown,11,CENTRAL,"7 9 W Mulberry Street
Baltimore, MD
"
Edgar Allan Poe House,21223,Poppleton,11,WESTERN,"203 Amity Street
Baltimore, MD
"
Thomas-Jencks-Gladding-Hackerman House,21201,Mount Vernon,11,CENTRAL,"1 Mount Vernon Place
Baltimore, MD
"
Clifton Mansion,21213,Clifton Park,14,NORTHEASTERN,
Roland Park Shopping Center,21210,Roland Park,6,NORTHERN,"4800 Roland Avenue
Baltimore, MD
"
St.Mary's Seminary Chapel,21201,Seton Hill,11,CENTRAL,"600 Paca Street
Baltimore, MD
"
B'nai Israel Synagogue,21202,Jonestown,12,SOUTHEASTERN,"15 Lloyd Street
Baltimore, MD
"
First Baptist Church,21287,Dunbar-Broadway,12,EASTERN,"525 Caroline Street
Baltimore, MD
"
Sharon Baptist Church,21217,Sandtown-Winchester,7,WESTERN,"1373 Stricker Street
Baltimore, MD
"
Taylor's Chapel and Burial Ground,21239,Mt Pleasant Park,4,NORTHEASTERN,
Zion Lutheran Church and Parish House,21202,Downtown,11,CENTRAL,"140 246 N Gay Street
Baltimore, MD
"
Furness House,21202,Downtown,11,CENTRAL,"19 21 South Street
Baltimore, MD
"
Goucher House,21218,Barclay,12,NORTHERN,"2313 St Paul Street
Baltimore, MD
"
United States Customs House,21202,Downtown,11,CENTRAL,"40 Gay Street
Baltimore, MD
"
Pennsylvania Station,21201,Charles North,12,CENTRAL,"1525 Charles Street
Baltimore, MD
"
Ascot House (Razed 1981),21210,Tuscany-Canterbury,14,NORTHERN,"104 39th Street
Baltimore, MD
"
Babe Ruth House,21230,Ridgely's Delight,11,SOUTHERN,"216 Emory Street
Baltimore, MD
"
War Memorial,21202,Downtown,11,CENTRAL,"101 Gay Street
Baltimore, MD
"
Alexander Brown and Sons,21202,Downtown,11,CENTRAL,"135 Baltimore Street
Baltimore, MD
"
Baltimore City Courthouse,21202,Downtown,11,CENTRAL,"100 Calvert Street
Baltimore, MD
"
Carroll Hunting Lodge,21209,Cheswolde,5,NORTHWESTERN,"5914 Greenspring Avenue
Baltimore, MD
"
Continental Trust Building,21202,Downtown,11,CENTRAL,"201 Baltimore Street
Baltimore, MD
"
"Crimea House, Chapel and Stables",21207,Franklintown,8,SOUTHWESTERN,
Etting Cemetary,21217,Penn North,7,WESTERN,"1500 North Avenue
Baltimore, MD
"
Gallagher Mansion,21212,Radnor-Winston,4,NORTHERN,"431 Notre Dame Lane
Baltimore, MD
"
Greenmount Cemetary Chapel and Gates,21202,Greenmount Cemetery,12,EASTERN,"1501 Greenmount Avenue
Baltimore, MD
"
James Lawrence Kernan Hospital,21207,Dickeyville,8,SOUTHWESTERN,"5214 Windsor Mill Road
Baltimore, MD
"
Leadenhall Baptist Church,21230,Sharp-Leadenhall,10,SOUTHERN,"1021 Leadenhall Street
Baltimore, MD
"
Mount Clare Mansion,21230,Carroll Park,9,SOUTHERN,
Mount Royal Station and Shed,21201,Mid-Town Belvedere,11,CENTRAL,"1400 Cathedral Street
Baltimore, MD
"
Bread of Life Cathedral,21201,Mount Vernon,11,CENTRAL,"100 Franklin
Baltimore, MD
"
Patterson Park Observatory,21224,Patterson Park,1,SOUTHEASTERN,
Saint Frances Academy,21202,Johnston Square,12,EASTERN,"501 Chase Street
Baltimore, MD
"
Saint Leo's Church,21202,Little Italy,1,SOUTHEASTERN,"225 Exeter Street
Baltimore, MD
"
Saint Peter Claver Church,21217,Sandtown-Winchester,7,WESTERN,"1550 Fremont Avenue
Baltimore, MD
"
Sharp Street United Methodist Church,21217,Upton,11,CENTRAL,"508 Dolphin Street
Baltimore, MD
"
Fort McHenry,21230,Locust Point Industrial Area,10,SOUTHERN,"1401 Constellation Plaza
Baltimore, MD
"
G. Krug & Sons,21201,Downtown,11,CENTRAL,"415 417 W Saratoga Street
Baltimore, MD
"
Hutzler's Palace Building,21201,Downtown,11,CENTRAL,"222 Howard Street
Baltimore, MD
"
"Octagon Building, U.S.F & G",21209,Mount Washington,5,NORTHERN,"5801 Smith Avenue
Baltimore, MD
"
Mount Auburn Cemetary,21230,Westport,10,SOUTHERN,"2614 Annapolis Road
Baltimore, MD
"
Booker T. Washington Jr. High School,21217,Madison Park,11,CENTRAL,"1300 Madison Avenue
Baltimore, MD
"
Walters Bath House and Engine House #10,21230,Washington Village,11,SOUTHERN,"906 Washington Boulevard
Baltimore, MD
"
Warden's House -Baltimore City Jail,21202,Penn-Fallsway,12,EASTERN,"Buren
Baltimore, MD
"
Robert Long House,21231,Fells Point,1,SOUTHEASTERN,"810 812 S Ann Street
Baltimore, MD
"
Greenway Cottages,21211,Roland Park,14,NORTHERN,"830 40th Avenue
Baltimore, MD
"
1124-1126 Riverside Avenue,21230,Riverside,10,SOUTHERN,"1124 1126 Riverside Avenue
Baltimore, MD
"
Provident Bank of Maryland,21201,Downtown,11,CENTRAL,"240 Howard Street
Baltimore, MD
"
Southern Hotel,21202,Downtown,11,CENTRAL,"7 11 Light Street
Baltimore, MD
"
Macht Building,21202,Downtown,11,CENTRAL,"11 13 E Fayette Street
Baltimore, MD
"
Old Federal Reserve Bank,21202,Downtown,11,CENTRAL,"114 120 E Lexington Street
Baltimore, MD
"
Chamber of Commerce Building,21202,Downtown,11,CENTRAL,"17 Commerce Street (400 Water Street
Baltimore, MD
"
Old Saint Paul's Cemetary,21201,University Of Maryland,11,CENTRAL,"733 Redwood Street
Baltimore, MD
"
Wooden Houses,21231,Fells Point,1,SOUTHEASTERN,"612 614 S Wolfe Street
Baltimore, MD
"
Pascault Row,21201,Seton Hill,11,CENTRAL,"651 665 W Lexington Street
Baltimore, MD
"
The Baltimore Museum of Art & Spring House,21218,Johns Hopkins Homewood,14,NORTHERN,"10 Museum Drive
Baltimore, MD
"
Hutzler's Tower Building,21201,Downtown,11,CENTRAL,"222 Howard Street
Baltimore, MD
"
"Johns Hopkins University, Gilman Hall",21218,Johns Hopkins Homewood,14,NORTHERN,"Charles
Baltimore, MD
"
The D'alesandro House,21202,Little Italy,1,SOUTHEASTERN,"245 Albemarle Street
Baltimore, MD
"
St. Joseph's Passionist Monastery,21229,Irvington,8,SOUTHWESTERN,"3800 Frederick Avenue
Baltimore, MD
"
Orchard Street Church,21201,Seton Hill,11,CENTRAL,"520 Orchard Street
Baltimore, MD
"
Douglass Memorial Community Church,21217,Madison Park,11,CENTRAL,"1327 Madison Avenue
Baltimore, MD
"
Buena Vista,21216,Northwest Community Action,7,SOUTHWESTERN,"1705 Longwood Street
Baltimore, MD
"
George Howard House,21201,Mount Vernon,11,CENTRAL,"8 Madison Street
Baltimore, MD
"
Charles Theater,21201,Charles North,12,CENTRAL,"1711 1717 N Charles Street
Baltimore, MD
"
Saint Katherine of Alexandria Protestant Episcopal,21217,Druid Heights,11,CENTRAL,"2001 Division Street
Baltimore, MD
"
Hecht Company Building,21201,Downtown,11,CENTRAL,"118 Howard St
Baltimore, MD
"
Congress Hotel,21201,Mount Vernon,11,CENTRAL,"306 312 W Franklin Street
Baltimore, MD
"
Carlton Street Stables,21223,Hollins Market,9,SOUTHERN,"112 Carlton Street
Baltimore, MD
"
Patterson Theater,21224,Highlandtown,1,SOUTHEASTERN,"3137 Eastern Avenue
Baltimore, MD
"
Standard Oil Building,21202,Mount Vernon,11,CENTRAL,"501 Saint Paul Place
Baltimore, MD
"
Friends Burial Ground,21218,Coldstream Homestead Montebello,14,NORTHEASTERN,"2506 Harford Road
Baltimore, MD
"
Northern District Police Station,21211,Wyman Park,7,NORTHERN,"3355 Keswick Road
Baltimore, MD
"
Samuel Coleridge Taylor Elementary School No. 122,21201,Heritage Crossing,11,CENTRAL,"501 Preston Street
Baltimore, MD
"
Grace Hampden Methodist Church,21211,Hampden,7,NORTHERN,"1014 36th Street
Baltimore, MD
"
DuVal/Hirschhorn House,21210,North Roland Park/Poplar Hill,5,NORTHERN,"800 Lake Avenue
Baltimore, MD
"
Patricia Grace Thomas Inn,21229,Ten Hills,8,SOUTHWESTERN,"5002 Frederick Avenue
Baltimore, MD
"
Engine House No. 6,21202,Oldtown,12,EASTERN,"416 Oldtown Mall
Baltimore, MD
"
Senator Theatre,21212,Rosebank,4,NORTHERN,"5904 York Road
Baltimore, MD
"
Scottish Rite Temple,21218,Tuscany-Canterbury,14,NORTHERN,"3800 Charles Street
Baltimore, MD
"
Terminal Warehouse,21202,Downtown,11,CENTRAL,"320 Guilford Ave
Baltimore, MD
"
Saint Matthew United Church of Christ,21213,Mayfield,3,NORTHEASTERN,"2320 Mayfield Avenue
Baltimore, MD
"
Union Baptist Church,21217,Upton,11,CENTRAL,"1219 Druid Hill Avenue
Baltimore, MD
"
Dr. John E.T. Camper House,21217,Harlem Park,11,WESTERN,"639 Carey Street
Baltimore, MD
"
Ruscombe Mansion,21209,Coldspring,6,NORTHERN,"4901 Springarden Drive
Baltimore, MD
"
Christ Church United Church of Christ,21230,Locust Point Industrial Area,10,SOUTHERN,"1308 Beason Street
Baltimore, MD
"
Johnny Eck House,21205,McElderry Park,13,SOUTHEASTERN,"622 Milton Avenue
Baltimore, MD
"
Baltimore City College,21218,Coldstream Homestead Montebello,14,NORTHEASTERN,"3220 The
Baltimore, MD
"
New Life Missisonary Baptist Church,21213,Oliver,12,EASTERN,"1801 Bond St
Baltimore, MD
"
Cedarwood,21210,Blythewood,6,NORTHERN,"4604 Charles St
Baltimore, MD
"
Masjid Al Haqq,21217,Upton,11,CENTRAL,"514 Islamic Way
Baltimore, MD
"
Fire Engine Company No. 25,21217,Druid Heights,11,CENTRAL,"2140 McCulloh St
Baltimore, MD
"
Arch Social Club,21217,Penn North,7,WESTERN,"2426 Pennsylvania Ave
Baltimore, MD
"
Douglass Place,21231,Fells Point,1,SOUTHEASTERN,"516 524 S Dallas St
Baltimore, MD
"
Divine Mission Apostolic Church,21223,Franklin Square,9,WESTERN,"1 Fulton St
Baltimore, MD
"
Weaver House,21214,Beverly Hills,3,NORTHEASTERN,"4319 Arabia Ave
Baltimore, MD
"
First English Lutheran Church,21218,Guilford,14,NORTHERN,"3807 Charles St
Baltimore, MD
"
Cherry Hill Elementary School #159,21225,Cherry Hill,10,SOUTHERN,"801 Bridgeview Rd
Baltimore, MD
"
Schwing Motor Company Building,21211,Hampden,7,NORTHERN,"3324 Keswick Rd
Baltimore, MD
"
The Mount,21216,Fairmont,7,SOUTHWESTERN,"3706 Nortonia Rd
Baltimore, MD
"
Riverside Park,21230,Riverside,10,SOUTHERN,"301 Randall St
Baltimore, MD
"
Ameican Brewery,21213,Broadway East,13,EASTERN,"1701 Gay St
Baltimore, MD
"
Upton Mansion,21217,Upton,11,CENTRAL,"811 Lanvale St
Baltimore, MD
"
Roland Park Water Tower,21211,Roland Park,7,NORTHERN,"4210 Roland Ave
Baltimore, MD
"
W.E.B. DuBois House,21214,Morgan Park,3,NORTHEASTERN,"2302 Montebello Terrace
Baltimore, MD
"
Bolton Square,21217,Bolton Hill,11,CENTRAL,"300 310 &amp; 236-250 W Lafayette
Baltimore, MD
"
Castalia,21210,Tuscany-Canterbury,14,NORTHERN,"200 Tuscany Road
Baltimore, MD
"
St. Stanislaus Kostka Church,21231,Fells Point,1,SOUTHEASTERN,"708 Ann St
Baltimore, MD
"
Four Bay House,21231,Fells Point,1,SOUTHEASTERN,"1733 Aliceanna St
Baltimore, MD
"
St. Markâ€™s Evangelical Lutheran Church,21218,Charles North,12,CENTRAL,"1920 Saint Paul Street
Baltimore, MD
"
Dr. Giering House,21206,Arcadia,3,NORTHEASTERN,"3906 Parkside Drive
Baltimore, MD
"
Harford Commons (William Fuld Company),21202,Oliver,12,EASTERN,"1508 Harford Road
Baltimore, MD
"
Melvin Cade Armory,21216,Bridgeview/Greenlawn,9,WESTERN,"2620 Winchester Street
Baltimore, MD
"
Nazarene Baptist Church,21202,Oliver,12,EASTERN,"1201 Harford Road
Baltimore, MD
"
Mount Calvary Church,21201,Seton Hill,11,CENTRAL,"816 Eutaw Street
Baltimore, MD
"
Saint Paul Community Baptist Church,21213,Broadway East,12,EASTERN,"1901 Federal St
Baltimore, MD
"
Raffel Building,21230,SBIC,10,SOUTHERN,"107 Heath Street
Baltimore, MD
"
Ann Wiggins Brown House,21217,Sandtown-Winchester,7,WESTERN,"1501 Presstman St
Baltimore, MD
"
Kresge Building,21201,Downtown,11,CENTRAL,"117 Lexington St
Baltimore, MD
"
Sellers Mansion,21217,Harlem Park,11,WESTERN,"801 Arlington Ave
Baltimore, MD
"
Latrobe Pavilion,21217,Druid Hill Park,7,NORTHERN,
Council Grove Pavilion,21217,Druid Hill Park,7,NORTHERN,
Conservatory,21217,Druid Hill Park,7,NORTHERN,
Chinese Pavilion,21217,Druid Hill Park,7,NORTHERN,
Archway over Madison St Entrance,21217,Reservoir Hill,7,NORTHERN,
Mansion House,21217,Druid Hill Park,7,NORTHERN,
Boat House,21217,Druid Hill Park,7,NORTHERN,
Chess & Checkers Pavilion,21217,Reservoir Hill,7,NORTHERN,
Octagonal Pavilion,21217,Druid Hill Park,7,NORTHERN,
Unnamed Pavilion #1,21217,Druid Hill Park,7,NORTHERN,
Unnamed Pavilion #2,21217,Druid Hill Park,7,NORTHERN,
Unnamed Pavilion #4,21217,Druid Hill Park,7,NORTHERN,
Unnamed Pavilion #5,21217,Druid Hill Park,7,NORTHERN,
Unnamed Pavilion #3,21217,Druid Hill Park,7,NORTHERN,
Christ Lutheran Church,21230,Otterbein,11,SOUTHERN,"701 Charles St
Baltimore, MD
"
President Street Station,21202,Inner Harbor,1,SOUTHEASTERN,"601 President St
Baltimore, MD
"
