CSA2010,Arts and Culture,Crime and Safety,Economic and Workforce Development,Education,Health and Human Welfare,Housing,Socioeconomic/Demographics,Sustainability
Allendale/Irvington/S. Hilton,0.041067761807,9.428939459,0.301807069831,7.07549210469,6.0101010101,9.69167433395,7.83608831349,3.57933579336
Beechfield/Ten Hills/West Hills,0.102669404517,9.44611421211,0.121477345607,4.23750811162,3.58585858586,6.58887448708,5.85741532771,1.69741697417
Belair-Edison,0.287474332649,8.78059252898,0.233145961444,8.89682024659,8.38383838384,9.31625711043,7.56155357762,3.35793357934
Brooklyn/Curtis Bay/Hawkins Point,0.164271047228,8.95663374839,0.785452899234,6.05883625352,8.53535353535,9.30655267594,7.752571957,3.65313653137
Canton,0.102669404517,8.14083297553,0.371599954729,0.0,3.9898989899,2.41224034761,1.39694832967,1.10701107011
Cedonia/Frankford,0.143737166324,9.02103907256,0.328215188441,9.84425697599,6.51515151515,7.82012881042,7.7178938851,2.91512915129
Cherry Hill,0.164271047228,9.65650493774,0.191270230505,5.49426779148,8.28282828283,9.56944547048,9.01023003121,5.27675276753
Chinquapin Park/Belvedere,0.082135523614,9.32159725204,0.125627192817,2.41185377461,6.81818181818,6.99931498109,6.60299387354,2.43542435424
Claremont/Armistead,0.184804928131,8.6775440103,0.258045044705,3.79623621025,6.76767676768,7.78812768215,7.73552190498,3.43173431734
Clifton-Berea,0.0205338809035,9.14984972091,0.153544346776,5.3320354748,8.48484848485,9.91635381898,8.72760374523,5.83025830258
Cross-Country/Cheswolde,0.266940451745,10.0,0.103368921417,1.04044992429,0.0,6.82154585933,5.62189342273,1.32841328413
Dickeyville/Franklintown,0.123203285421,9.45899527694,0.0,1.19402985075,5.65656565657,3.83127044143,7.73841174431,3.06273062731
Dorchester/Ashburton,0.082135523614,9.19278660369,0.142981099332,4.37810945274,4.94949494949,8.04830054869,7.57340191885,2.87822878229
Downtown/Seton Hill,5.19507186858,0.0,10.0,0.620808998486,8.13131313131,4.26827220771,6.46601548954,2.25092250923
Edmondson Village,0.041067761807,9.6650923143,0.0154676123288,3.75730045425,6.31313131313,8.96501702473,7.4661888799,4.05904059041
Fells Point,0.862422997947,7.74581365393,0.778662240163,0.63378758382,4.69696969697,3.60319944124,2.98693792625,1.47601476015
Forest Park/Walbrook,0.0616016427105,9.21425504508,0.0550797902441,4.11853774605,5.35353535354,8.57633595476,7.46994567102,3.35793357934
Glen-Fallstaff,0.246406570842,8.68183769858,0.899385068095,4.25264979451,3.18181818182,6.93480903419,7.35088429083,2.80442804428
Greater Charles Village/Barclay,3.30595482546,8.21811936453,1.24834949259,2.42266926238,5.10101010101,5.72078092155,8.34441105075,3.80073800738
Greater Govans,0.0616016427105,9.56204379562,0.0905421209492,4.65931213498,5.45454545455,8.86911437801,7.57051207953,3.9852398524
Greater Mondawmin,0.287474332649,7.88321167883,0.438752027766,3.95630542937,4.59595959596,8.95705871687,7.294532424,3.65313653137
Greater Roland Park/Poplar Hill,0.184804928131,9.2700729927,0.467800958237,0.568894657149,1.9696969697,1.41748544335,0.0,0.0
Greater Rosemont,0.164271047228,9.20137398025,0.234654996793,10.0,6.0101010101,9.99351918389,8.5094208762,4.87084870849
Greenmount East,0.164271047228,9.01245169601,0.111668615837,4.1553104045,10.0,9.66941121954,8.92844757831,10.0
Hamilton,0.123203285421,9.10691283813,0.21013317237,4.24616050184,4.49494949495,7.15223537787,4.63819211652,1.91881918819
Harbor East/Little Italy,0.780287474333,4.78316874195,2.68910099219,2.28639411637,4.74747474747,2.18981067958,7.35839787308,4.16974169742
Harford/Echodale,0.41067761807,9.18849291541,0.31576564681,5.20224962146,5.25252525253,6.44223343027,5.847589874,1.9557195572
Highlandtown,0.308008213552,7.22627737226,0.366318331007,1.4600908501,5.80808080808,3.42314692312,3.57299734135,2.10332103321
Howard Park/West Arlington,0.205338809035,8.6389008158,0.413852944505,3.34414882111,3.83838383838,7.28813104009,7.25494162525,2.21402214022
Inner Harbor/Federal Hill,10.0,6.62945470159,1.86705398574,0.839281851612,3.53535353535,1.61120476021,1.87174893076,1.25461254613
Lauraville,0.266940451745,9.08973808502,0.187120383295,4.16612589228,5.45454545455,6.90267358849,4.37232689862,1.47601476015
Loch Raven,0.082135523614,9.53198797767,0.291998340061,5.85983127839,3.53535353535,7.46680680452,6.47584094324,2.58302583026
Madison/East End,0.0,8.45427221984,0.124495416305,4.97296128055,7.9797979798,9.83959140637,8.47127499711,6.82656826568
Medfield/Hampden/Woodberry/Remington,1.47843942505,8.44568484328,1.28192552911,2.88124594419,2.92929292929,5.51010402885,5.38377066235,1.91881918819
Midtown,5.70841889117,6.9428939459,1.64447127174,1.04910231451,2.12121212121,4.64637577988,7.37949370015,3.54243542435
Midway/Coldstream,0.123203285421,9.06826964362,0.197306371902,5.23469608479,8.48484848485,9.96820034788,7.76210842677,5.23985239852
Morrell Park/Violetville,0.164271047228,8.44568484328,0.862790960878,2.4659312135,3.78787878788,8.71914896475,7.28961969714,2.0295202952
Mount Washington/Coldspring,0.246406570842,9.40317732933,0.320670011695,0.393683755137,3.48484848485,1.75045835824,3.00196509074,0.811808118081
North Baltimore/Guilford/Homeland,0.698151950719,9.2700729927,0.484400347078,1.05126541207,1.36363636364,0.0,2.889550341,0.553505535055
Northwood,0.431211498973,9.69085444397,0.371599954729,4.50789530608,3.83838383838,7.44296546027,5.4242284129,2.17712177122
Oldtown/Middle East,1.41683778234,8.70330613997,2.18923303278,4.70257408609,4.54545454545,7.65330655939,10.0,5.94095940959
Orangeville/East Highlandtown,0.595482546201,7.37226277372,1.45018297054,3.38741077223,7.07070707071,7.88060523435,7.0535198243,3.50553505535
Patterson Park North & East,0.225872689938,7.43237440962,0.123363639793,5.65650010815,6.9696969697,4.85104196748,5.49098370131,4.53874538745
Penn North/Reservoir Hill,2.9568788501,8.92657793044,0.157316935149,4.50356911097,7.27272727273,8.19430359769,7.88030285516,5.31365313653
Pimlico/Arlington/Hilltop,0.205338809035,8.93945899528,0.648130682461,5.23685918235,7.57575757576,8.94856313927,8.06149578083,4.46494464945
Poppleton/The Terraces/Hollins Market,0.0616016427105,8.51867754401,0.113177651186,2.53298723772,7.57575757576,7.21304759538,9.4717373714,4.83394833948
Sandtown-Winchester/Harlem Park,0.0205338809035,9.23572348647,0.190515712831,7.51892710361,6.91919191919,9.69771861841,9.05617847648,7.82287822878
South Baltimore,0.082135523614,8.23958780593,1.03783906138,0.209820462903,7.62626262626,1.71268158038,1.70009247486,1.47601476015
Southeastern,0.184804928131,8.42851009017,1.01218546044,1.91217823924,5.0,8.19531097844,7.87192232112,3.06273062731
Southern Park Heights,0.164271047228,9.22713610992,0.164862111895,5.98312783907,7.62626262626,9.77961867281,8.82296844295,5.53505535055
Southwest Baltimore,0.184804928131,8.38986689566,0.416493756366,8.92277741726,7.0202020202,10.0,9.09201248411,8.41328413284
The Waverlies,0.041067761807,7.90468012022,0.21428301958,3.22085226044,5.60606060606,8.31139481938,7.87625708011,3.9852398524
Upton/Druid Heights,0.184804928131,8.48862172606,0.476477911495,5.55699762059,8.48484848485,9.72414557323,9.80320194197,8.74538745387
Washington Village/Pigtown,0.554414784394,4.3580936024,0.775266910627,2.00302833658,6.41414141414,8.29252322013,6.09120332909,2.91512915129
Westport/Mount Winans/Lakeland,0.143737166324,8.68613138686,0.34217376542,3.85031364915,8.23232323232,9.49795501709,6.90844989019,3.43173431734
